customer_id,customer_name,email,region,signup_date
1,DONALD WALKER,rhodespatricia@example.org,South,2025-03-23
2,Brandon Hall,hoffmanjennifer@example.net,Central,2025-02-17
3,  Kevin Pacheco  ,blakeerik@example.com,South,2025-01-16
4,Tyler Rogers,jamesmichael@example.com,Central,2024-08-26
5,Monica Herrera,smiller@example.net,North,2025-02-26
6,Laura Bush,stanleykendra@example.org,East,2025-03-08
7,Jamie Chavez,francisco53@example.net,North,2025-08-21
8,Maria Lynch,amandasanchez@example.com,East,2024-07-05
9,Margaret Hawkins DDS,perezantonio@example.com,West,2024-09-22
10,Thomas Bradley,jason76@example.net,East,2024-10-07
11,  David Hoffman  ,julie69@example.com,South,2024-11-17
12,Brenda Snyder PhD,hernandezernest@example.net,North,2024-09-10
13,James Ferrell,tasha01@example.net,South,2024-10-22
14,Patricia Peterson,ryan70@example.net,North,2025-09-11
15,Jonathan White,harrellkenneth@example.net,South,2025-09-05
16,James Martin,georgetracy@example.org,Central,2024-12-21
17,Sandra Parker,allenashley@example.org,North,2025-10-12
18,MR. PHILIP CANNON,donnaarroyo@example.org,East,2024-02-29
19,Jenny Lewis,jenniferross@example.net,East,2024-07-04
20,Joseph Martinez,calebsmith@example.net,West,2025-03-30
21,Benjamin Welch,carlosjohnson@example.com,Central,2024-06-10
22,Michael Lewis,jenniferkhan@example.net,West,2024-02-19
23,Rhonda Lee,hopkinsmichael@example.com,West,2024-11-26
24,MEGAN JOYCE,brownjessica@example.org,South,2024-11-22
25,Jerry Henderson,steven17@example.net,West,2024-06-23
26,Kimberly Smith,housemelinda@example.org,Central,2024-03-09
27,DR. STEVEN MARTIN,gallowayjoseph@example.com,Central,2024-10-11
28,Monica Logan,smoore@example.org,East,2024-07-18
29,Kimberly Adkins,williamsthomas@example.net,East,2025-11-09
30,Angela Lopez,leonardjoe@example.org,North,2024-04-20
31,Lauren Williams,barnesbrandy@example.net,Central,2025-10-21
32,Michael Edwards,randy47@example.com,Central,2024-08-09
33,Alexandra Howell,jonesjason@example.com,North,2025-10-12
34,Benjamin Sanchez,eric84@example.net,East,2024-04-02
35,Kendra Contreras,sarah12@example.com,North,2025-11-19
36,Juan Nelson,jenniferharris@example.net,Central,2024-03-21
37,Danielle Odonnell,davisrodney@example.com,Central,2025-08-20
38,Carlos Whitney,joycearnold@example.com,South,2024-01-31
39,Tony Vazquez,amydavenport@example.net,East,2025-01-27
40,Andrew Diaz,nolanjason@example.org,Central,2025-01-21
41,Justin Baxter,sarayoung@example.org,North,2025-04-11
42,Sierra Johnson,kimberly63@example.com,North,2025-11-14
43,JANET WILLIAMS,dwalker@example.com,North,2024-04-21
44,CRYSTAL JOHNSON,raymondramirez@example.org,West,2024-08-01
45,Martin Ross,sheila14@example.org,Central,2025-11-07
46,Mrs. Linda Reed,samuel81@example.com,West,2025-02-10
47,ANDREW GRAHAM,michaeljones@example.net,West,2025-09-21
48,Mary Martinez,william65@example.com,North,2025-10-06
49,Cheryl Ortega,lbyrd@example.net,North,2025-05-03
50,Roy Torres,russellcarpenter@example.net,West,2025-02-02
51,Michael Dixon,donnacampbell@example.net,North,2024-08-13
52,Robert Potter,jeffrey32@example.org,North,2025-03-19
53,  Miss Patricia Gibson  ,jennifercruz@example.com,North,2024-02-02
